speciesId,family,stage,attribute,classification,machineClassification,manualVisualOverride,bboxHeightRatio,bboxWidthRatio,centerOffsetX,centerOffsetY,bboxCenterOffsetX,bboxCenterOffsetY,transparentRatio,edgeContact,backgroundSuspicion,cropRisk,scaleOutlier,reason,recommendedAction
m023,F008,2,bug,KEEP,KEEP,false,0.980469,0.9375,0.049878,-0.051003,0.011719,-0.001953,0.556534,false,false,false,false,no destructive/background/crop/family/style concern detected by audit evidence,freeze candidate
m024,F008,3,bug,KEEP,KEEP,false,0.970703,0.951172,0.054277,-0.04904,0.010742,0.000977,0.499416,false,false,false,false,no destructive/background/crop/family/style concern detected by audit evidence,freeze candidate
m025,F009,1,electric,KEEP,KEEP,false,0.763672,0.769531,-0.00446,-0.012472,0.003906,-0.006836,0.624039,false,false,false,false,no destructive/background/crop/family/style concern detected by audit evidence,freeze candidate
m026,F009,2,electric,KEEP,KEEP,false,0.757813,0.794922,0.009371,-0.008257,0.008789,-0.005859,0.6236,false,false,false,false,no destructive/background/crop/family/style concern detected by audit evidence,freeze candidate
m027,F009,3,electric,KEEP,KEEP,false,0.785156,0.808594,0.017158,-0.011413,0,-0.007813,0.580498,false,false,false,false,no destructive/background/crop/family/style concern detected by audit evidence,freeze candidate
m028,F010,1,electric,KEEP,KEEP,false,0.814453,0.810547,-0.013229,-0.06052,0.004883,-0.000977,0.757282,false,false,false,false,no destructive/background/crop/family/style concern detected by audit evidence,freeze candidate
m029,F010,2,electric,KEEP,KEEP,false,0.804688,0.806641,0.001901,-0.058741,-0.000977,0,0.699383,false,false,false,false,no destructive/background/crop/family/style concern detected by audit evidence,freeze candidate
m030,F010,3,electric,KEEP,KEEP,false,0.814453,0.820313,-0.003036,-0.062779,0,0.000977,0.636063,false,false,false,false,no destructive/background/crop/family/style concern detected by audit evidence,freeze candidate
m031,F011,1,ground,KEEP,KEEP,false,0.787109,0.893555,0.006555,0.008704,0.001465,0.001953,0.620676,false,false,false,false,no destructive/background/crop/family/style concern detected by audit evidence,freeze candidate
m032,F011,2,ground,KEEP,KEEP,false,0.857422,0.949219,0.05484,0.015319,0.006836,0.003906,0.524076,false,false,false,false,no destructive/background/crop/family/style concern detected by audit evidence,freeze candidate
m033,F011,3,ground,KEEP,KEEP,false,0.876953,0.953125,0.034284,0.009956,0,0.003906,0.492455,false,false,false,false,no destructive/background/crop/family/style concern detected by audit evidence,freeze candidate
m034,F012,1,rock,KEEP,KEEP,false,0.800781,0.761719,-0.004889,0.016772,0,0,0.632374,false,false,false,false,no destructive/background/crop/family/style concern detected by audit evidence,freeze candidate
m035,F012,2,rock,KEEP,KEEP,false,0.789063,0.800781,0.013463,0.016204,0,0,0.626118,false,false,false,false,no destructive/background/crop/family/style concern detected by audit evidence,freeze candidate
m036,F012,3,rock,KEEP,KEEP,false,0.763672,0.800781,0.015228,0.014841,0,-0.000977,0.606567,false,false,false,false,no destructive/background/crop/family/style concern detected by audit evidence,freeze candidate
m037,F013,1,water,KEEP,KEEP,false,0.878906,0.964844,0.026349,0.050243,0,-0.015625,0.60651,false,false,false,false,no destructive/background/crop/family/style concern detected by audit evidence,freeze candidate
m038,F013,2,water,KEEP,KEEP,false,0.976563,0.986328,0.071267,-0.007489,0.000977,0,0.437366,false,false,false,false,no destructive/background/crop/family/style concern detected by audit evidence,freeze candidate
m039,F013,3,water,KEEP,KEEP,false,0.962891,0.992188,0.034462,0.020801,0.001953,-0.004883,0.341774,false,false,false,false,no destructive/background/crop/family/style concern detected by audit evidence,freeze candidate
m040,F014,1,grass,KEEP,KEEP,false,0.683594,0.886719,-0.005814,0.052165,0,0,0.598969,false,false,false,false,no destructive/background/crop/family/style concern detected by audit evidence,freeze candidate
m041,F014,2,grass,KEEP,KEEP,false,0.683594,0.878906,-0.029962,0.029944,0,0,0.572872,false,false,false,false,no destructive/background/crop/family/style concern detected by audit evidence,freeze candidate
m042,F014,3,grass,NORMALIZE,NORMALIZE,false,0.421875,0.875,-0.019581,0.024993,0,0,0.725391,false,false,false,false,apparent character scale/transparent whitespace is outside preferred roster range,Phase 2: scale/padding/centering only
m043,F015,1,poison,KEEP,KEEP,false,0.876953,0.806641,-0.012991,0.082214,0.036133,-0.018555,0.625397,false,false,false,false,no destructive/background/crop/family/style concern detected by audit evidence,freeze candidate
m044,F015,2,poison,KEEP,KEEP,false,0.970703,0.943359,-0.012216,0.054496,0.004883,0.00293,0.395664,false,false,false,false,no destructive/background/crop/family/style concern detected by audit evidence,freeze candidate
m045,F015,3,poison,MANUAL_REVIEW,MANUAL_REVIEW,false,0.988281,0.916016,0.005674,0.052417,0.004883,-0.005859,0.310772,true,false,true,false,visible content contacts canvas edge with possible clipping,manual visual review before any mutation
m046,F016,1,fight,KEEP,KEEP,false,0.720703,0.673828,-0.007794,0.002702,0.000977,0.000977,0.726677,false,false,false,false,no destructive/background/crop/family/style concern detected by audit evidence,freeze candidate
m047,F016,2,fight,KEEP,KEEP,false,0.738281,0.576172,0.007476,0.016566,-0.000977,-0.001953,0.782921,false,false,false,false,no destructive/background/crop/family/style concern detected by audit evidence,freeze candidate
m048,F016,3,fight,KEEP,KEEP,false,0.886719,0.666016,0.010743,-0.023789,-0.000977,0,0.667854,false,false,false,false,no destructive/background/crop/family/style concern detected by audit evidence,freeze candidate
m049,F017,1,fairy,KEEP,KEEP,false,0.785156,0.931641,0.007667,0.067969,0.016602,0.064453,0.522804,false,false,false,false,no destructive/background/crop/family/style concern detected by audit evidence,freeze candidate
m050,F017,2,fairy,KEEP,KEEP,false,0.689453,0.888672,0.044547,0.027858,0.047852,-0.006836,0.672504,false,false,false,false,no destructive/background/crop/family/style concern detected by audit evidence,freeze candidate
m051,F017,3,fairy,NORMALIZE,NORMALIZE,false,0.654297,0.904297,0.00243,0.020731,-0.047852,0.006836,0.689079,true,false,false,false,apparent character scale/transparent whitespace is outside preferred roster range,Phase 2: scale/padding/centering only
m052,F018,1,psychic,KEEP,KEEP,false,0.925781,0.884766,0.012461,-0.077883,-0.000977,-0.011719,0.570869,false,false,false,false,no destructive/background/crop/family/style concern detected by audit evidence,freeze candidate
m053,F018,2,psychic,KEEP,KEEP,false,0.863281,0.916016,-0.002055,-0.016799,0.000977,-0.005859,0.661888,false,false,false,false,no destructive/background/crop/family/style concern detected by audit evidence,freeze candidate
m054,F018,3,psychic,KEEP,KEEP,false,0.861328,0.804688,0.002762,0.006012,0.001953,-0.022461,0.635284,false,false,false,false,no destructive/background/crop/family/style concern detected by audit evidence,freeze candidate
m055,F019,1,fire,KEEP,KEEP,false,0.810547,0.646484,0.003983,0.000747,-0.000977,-0.00293,0.68441,false,false,false,false,no destructive/background/crop/family/style concern detected by audit evidence,freeze candidate
m056,F019,2,fire,KEEP,KEEP,false,0.761719,0.818359,0.017747,0.023941,0.000977,-0.009766,0.615868,false,false,false,false,no destructive/background/crop/family/style concern detected by audit evidence,freeze candidate
m057,F019,3,fire,KEEP,NORMALIZE,true,0.542969,0.833984,0.005771,0.021549,0.000977,0,0.66029,false,false,false,false,"Manual visual QA: horizontal final-stage silhouette fills the card width and has strong apparent presence; low bbox height is shape-driven, not underscaling.",Freeze candidate.
m058,F020,1,fire,KEEP,NORMALIZE,true,0.804688,0.585938,0.010533,0.104062,0,0.001953,0.735069,false,false,false,false,"Manual visual QA: bbox is centered; alpha centroid is bottom-heavy because the flame/body mass is intentionally lower in the silhouette, not because canvas placement is wrong.",Freeze candidate.
m059,F020,2,fire,KEEP,KEEP,false,0.8125,0.705078,0.004519,0.048245,0.000977,0,0.656078,false,false,false,false,no destructive/background/crop/family/style concern detected by audit evidence,freeze candidate
m060,F020,3,fire,KEEP,NORMALIZE,true,0.675781,0.833984,-0.003322,0.070849,0.000977,0.011719,0.639675,false,false,false,false,Manual visual QA: wide final-stage silhouette has sufficient apparent presence; low bbox height is shape-driven.,Freeze candidate.
m061,F021,1,ground,KEEP,KEEP,false,0.917969,0.762695,-0.012491,-0.011495,0.038574,0.001953,0.709647,false,false,false,false,no destructive/background/crop/family/style concern detected by audit evidence,freeze candidate
m062,F021,2,ground,KEEP,KEEP,false,0.973633,0.894531,0.024148,-0.006258,0.040039,-0.001465,0.450752,false,false,false,false,no destructive/background/crop/family/style concern detected by audit evidence,freeze candidate
m063,F021,3,ground,KEEP,KEEP,false,0.928711,0.887695,-0.019123,-0.006399,0.006348,-0.004395,0.548002,false,false,false,false,no destructive/background/crop/family/style concern detected by audit evidence,freeze candidate
m064,F022,1,rock,NORMALIZE,NORMALIZE,false,0.667969,0.720703,-0.04594,0.019203,-0.000977,0.005859,0.74728,false,false,false,false,apparent character scale/transparent whitespace is outside preferred roster range,Phase 2: scale/padding/centering only
m065,F022,2,rock,NORMALIZE,NORMALIZE,false,0.623047,0.769531,-0.027861,-0.011378,0,0.004883,0.700012,false,false,false,false,apparent character scale/transparent whitespace is outside preferred roster range,Phase 2: scale/padding/centering only
m066,F022,3,rock,KEEP,KEEP,false,0.736328,0.820313,-0.053451,0.032139,0,0.004883,0.680592,false,false,false,false,no destructive/background/crop/family/style concern detected by audit evidence,freeze candidate
m067,F023,1,steel,KEEP,KEEP,false,0.902344,0.779297,-0.067246,-0.008944,0.016602,0,0.651814,false,false,false,false,no destructive/background/crop/family/style concern detected by audit evidence,freeze candidate
m068,F023,2,steel,KEEP,KEEP,false,0.898438,0.845703,-0.00715,0.001219,0.02832,0,0.575417,false,false,false,false,no destructive/background/crop/family/style concern detected by audit evidence,freeze candidate
m069,F023,3,steel,KEEP,KEEP,false,0.886719,0.898438,0.021896,0.011597,-0.001953,0,0.508072,false,false,false,false,no destructive/background/crop/family/style concern detected by audit evidence,freeze candidate
m070,F024,1,electric,KEEP,KEEP,false,0.8125,0.722656,-0.000225,-0.011461,0.019531,0,0.74065,false,false,false,false,no destructive/background/crop/family/style concern detected by audit evidence,freeze candidate
m071,F024,2,electric,KEEP,KEEP,false,0.816406,0.792969,0.001169,-0.009043,0,0,0.647228,false,false,false,false,no destructive/background/crop/family/style concern detected by audit evidence,freeze candidate
m072,F024,3,electric,KEEP,KEEP,false,0.808594,0.818359,0.006761,-0.003932,-0.000977,-0.001953,0.589272,false,false,false,false,no destructive/background/crop/family/style concern detected by audit evidence,freeze candidate
m073,F025,1,water,KEEP,KEEP,false,0.890625,0.966797,0.007222,0.013245,0.00293,-0.027344,0.66642,false,false,false,false,no destructive/background/crop/family/style concern detected by audit evidence,freeze candidate
m074,F025,2,water,KEEP,KEEP,false,0.947266,0.980469,0.00788,0.002234,0.001953,-0.010742,0.606354,false,false,false,false,no destructive/background/crop/family/style concern detected by audit evidence,freeze candidate
m075,F025,3,water,KEEP,KEEP,false,0.972656,0.984375,0.009981,0.017177,0,-0.003906,0.455723,false,false,false,false,no destructive/background/crop/family/style concern detected by audit evidence,freeze candidate
m076,F026,1,water,KEEP,KEEP,false,0.912109,0.814453,0.028515,-0.059382,0.022461,0.000977,0.558559,false,false,false,false,no destructive/background/crop/family/style concern detected by audit evidence,freeze candidate
m077,F026,2,water,KEEP,KEEP,false,0.962891,0.914063,0.027202,-0.04813,0.007813,0.00293,0.431816,false,false,false,false,no destructive/background/crop/family/style concern detected by audit evidence,freeze candidate
m078,F026,3,water,KEEP,KEEP,false,0.984375,0.951172,0.005008,-0.010233,-0.000977,0,0.324387,false,false,false,false,no destructive/background/crop/family/style concern detected by audit evidence,freeze candidate
m079,F027,1,poison,KEEP,KEEP,false,0.958984,0.90625,0.017994,0.010237,-0.003906,0.00293,0.526123,false,false,false,false,no destructive/background/crop/family/style concern detected by audit evidence,freeze candidate
m080,F027,2,poison,KEEP,KEEP,false,0.992188,0.925781,0.010652,-0.031597,-0.001953,0.001953,0.381092,false,false,false,false,no destructive/background/crop/family/style concern detected by audit evidence,freeze candidate
m081,F027,3,poison,MANUAL_REVIEW,MANUAL_REVIEW,false,0.992188,0.917969,0.026211,0.00708,0.001953,-0.003906,0.353588,true,false,true,false,visible content contacts canvas edge with possible clipping,manual visual review before any mutation
m082,F028,1,grass,KEEP,KEEP,false,0.847656,0.833984,0.026478,-0.035948,-0.000977,0,0.655891,false,false,false,false,no destructive/background/crop/family/style concern detected by audit evidence,freeze candidate
m083,F028,2,grass,KEEP,KEEP,false,0.847656,0.722656,-0.022651,0.010127,0,0,0.593945,false,false,false,false,no destructive/background/crop/family/style concern detected by audit evidence,freeze candidate
m084,F028,3,grass,KEEP,KEEP,false,0.822266,0.847656,0.014346,0.022784,0,-0.000977,0.443512,false,false,false,false,no destructive/background/crop/family/style concern detected by audit evidence,freeze candidate
m085,F029,1,grass,KEEP,KEEP,false,0.839844,0.847656,-0.020398,0.079481,0,0,0.590748,false,false,false,false,no destructive/background/crop/family/style concern detected by audit evidence,freeze candidate
m086,F029,2,grass,KEEP,KEEP,false,0.847656,0.722656,0.016448,0.035371,0,0,0.558979,false,false,false,false,no destructive/background/crop/family/style concern detected by audit evidence,freeze candidate
m087,F029,3,grass,KEEP,KEEP,false,0.771484,0.847656,0.023873,0.051976,0,-0.000977,0.480999,false,false,false,false,no destructive/background/crop/family/style concern detected by audit evidence,freeze candidate
m088,F030,1,fight,KEEP,KEEP,false,0.720703,0.632813,0.012617,0.059769,0,0.000977,0.699478,false,false,false,false,no destructive/background/crop/family/style concern detected by audit evidence,freeze candidate
m089,F030,2,fight,KEEP,KEEP,false,0.78125,0.767578,0.02504,0.065873,0.000977,0,0.655514,false,false,false,false,no destructive/background/crop/family/style concern detected by audit evidence,freeze candidate
m090,F030,3,fight,KEEP,KEEP,false,0.738281,0.707031,-0.030641,0.008585,0,0,0.678009,false,false,false,false,no destructive/background/crop/family/style concern detected by audit evidence,freeze candidate
m091,F031,1,fight,KEEP,KEEP,false,0.730469,0.917969,-0.033583,-0.011267,0,0,0.744987,false,false,false,false,no destructive/background/crop/family/style concern detected by audit evidence,freeze candidate
m092,F031,2,fight,KEEP,KEEP,false,0.78125,0.765625,-0.006005,-0.006067,0,0,0.781345,false,false,false,false,no destructive/background/crop/family/style concern detected by audit evidence,freeze candidate
m093,F031,3,fight,KEEP,KEEP,false,0.744141,0.875,0.019522,0.019512,0,0.000977,0.649014,false,false,false,false,no destructive/background/crop/family/style concern detected by audit evidence,freeze candidate
m094,F032,1,flying,KEEP,KEEP,false,0.775391,0.951172,0.027187,-0.012887,-0.012695,-0.020508,0.618423,false,false,false,false,no destructive/background/crop/family/style concern detected by audit evidence,freeze candidate
m095,F032,2,flying,KEEP,KEEP,false,0.980469,0.988281,0.017127,-0.024167,0,0,0.529678,false,false,false,false,no destructive/background/crop/family/style concern detected by audit evidence,freeze candidate
m096,F032,3,flying,KEEP,KEEP,false,0.976563,0.984375,0.007192,-0.011022,0,-0.001953,0.326344,false,false,false,false,no destructive/background/crop/family/style concern detected by audit evidence,freeze candidate
m097,F033,1,psychic,KEEP,KEEP,false,0.910156,0.890625,-0.000302,-0.033749,0,-0.009766,0.709625,false,false,false,false,no destructive/background/crop/family/style concern detected by audit evidence,freeze candidate
m098,F033,2,psychic,KEEP,KEEP,false,0.914063,0.748047,-0.001375,-0.042362,-0.00293,-0.001953,0.668526,false,false,false,false,no destructive/background/crop/family/style concern detected by audit evidence,freeze candidate
m099,F033,3,psychic,KEEP,KEEP,false,0.974609,0.683594,0.005025,-0.027275,0.003906,-0.004883,0.696114,false,false,false,false,no destructive/background/crop/family/style concern detected by audit evidence,freeze candidate
m100,F034,1,normal,KEEP,KEEP,false,0.985938,0.882813,0.063131,-0.016811,0.046094,-0.000781,0.470874,false,false,false,false,no destructive/background/crop/family/style concern detected by audit evidence,freeze candidate
m101,F034,2,normal,KEEP,KEEP,false,0.9875,0.925,0.000493,-0.045933,-0.001563,-0.001563,0.457175,false,false,false,false,no destructive/background/crop/family/style concern detected by audit evidence,freeze candidate
m102,F034,3,normal,KEEP,KEEP,false,0.989062,0.95,-0.00298,-0.003275,-0.001562,-0.003906,0.394404,false,false,false,false,no destructive/background/crop/family/style concern detected by audit evidence,freeze candidate
m103,F035,1,ice,NORMALIZE,NORMALIZE,false,0.626953,0.644531,-0.011687,0.028132,0.003906,-0.000977,0.70647,false,false,false,false,apparent character scale/transparent whitespace is outside preferred roster range,Phase 2: scale/padding/centering only
m104,F035,2,ice,KEEP,KEEP,false,0.714844,0.792969,-0.024489,0.023866,-0.003906,0,0.599342,false,false,false,false,no destructive/background/crop/family/style concern detected by audit evidence,freeze candidate
m105,F035,3,ice,KEEP,KEEP,false,0.691406,0.884766,-0.040263,0.050875,-0.00293,0.001953,0.605274,false,false,false,false,no destructive/background/crop/family/style concern detected by audit evidence,freeze candidate
m106,F036,1,dark,KEEP,KEEP,false,0.835938,0.912109,0.005945,-0.026778,0.016602,-0.003906,0.619011,false,false,false,false,no destructive/background/crop/family/style concern detected by audit evidence,freeze candidate
m107,F036,2,dark,KEEP,KEEP,false,0.898438,0.888672,0.009595,-0.040546,0.00293,0.007813,0.630604,false,false,false,false,no destructive/background/crop/family/style concern detected by audit evidence,freeze candidate
m108,F036,3,dark,KEEP,KEEP,false,0.96875,0.966797,0.020305,-0.03488,-0.00293,0.001953,0.539318,false,false,false,false,no destructive/background/crop/family/style concern detected by audit evidence,freeze candidate
m109,F037,1,ghost,KEEP,NORMALIZE,true,0.841797,0.544922,-0.014942,-0.008219,-0.047852,-0.000977,0.685543,false,false,false,false,Manual visual QA: tall/narrow ghost silhouette has sufficient card presence; lateral transparent margin is intentional shape space.,Freeze candidate.
m110,F037,2,ghost,KEEP,NORMALIZE,true,0.859375,0.546875,-0.072771,-0.007003,-0.001953,0,0.706291,false,false,false,false,Manual visual QA: tall/narrow ghost silhouette has sufficient card presence; lateral transparent margin is intentional shape space.,Freeze candidate.
m111,F037,3,ghost,KEEP,NORMALIZE,true,0.867188,0.449219,-0.011414,0.006999,-0.001953,0,0.719444,false,false,false,false,Manual visual QA: tall/narrow ghost silhouette has sufficient card presence; lateral transparent margin is intentional shape space.,Freeze candidate.
m112,F038,1,ghost,KEEP,KEEP,false,0.841797,0.730469,0.004789,0.068483,0.042969,0.000977,0.657677,false,false,false,false,no destructive/background/crop/family/style concern detected by audit evidence,freeze candidate
m113,F038,2,ghost,KEEP,NORMALIZE,true,0.861328,0.535156,-0.037398,0.007011,-0.003906,-0.000977,0.714039,false,false,false,false,Manual visual QA: tall/narrow lantern silhouette has sufficient card presence; lateral transparent margin is intentional shape space.,Freeze candidate.
m114,F038,3,ghost,KEEP,NORMALIZE,true,0.884766,0.408203,0.002907,-0.014217,-0.010742,0.006836,0.725052,false,false,false,false,Manual visual QA: tall/narrow lantern silhouette has sufficient card presence; lateral transparent margin is intentional shape space.,Freeze candidate.
m115,F039,1,fairy,KEEP,KEEP,false,0.855469,0.908203,-0.045199,-0.009788,-0.024414,0.019531,0.600235,false,false,false,false,no destructive/background/crop/family/style concern detected by audit evidence,freeze candidate
m116,F039,2,fairy,KEEP,KEEP,false,0.929688,0.882813,0.006002,-0.046643,0,-0.001953,0.614799,false,false,false,false,no destructive/background/crop/family/style concern detected by audit evidence,freeze candidate
m117,F040,1,normal,KEEP,KEEP,false,0.992188,0.970313,-0.023296,-0.035127,-0.002344,-0.002344,0.441843,false,false,false,false,no destructive/background/crop/family/style concern detected by audit evidence,freeze candidate
m118,F040,2,normal,KEEP,KEEP,false,0.984375,0.985938,0.011263,0.011538,-0.000781,0.001562,0.322043,false,false,false,false,no destructive/background/crop/family/style concern detected by audit evidence,freeze candidate
m119,F041,1,ice,KEEP,KEEP,false,0.933594,0.816406,-0.003366,-0.037523,0.013672,-0.023438,0.652485,false,false,false,false,no destructive/background/crop/family/style concern detected by audit evidence,freeze candidate
m120,F041,2,ice,KEEP,KEEP,false,0.964844,0.894531,0.030116,-0.011783,0.021484,-0.001953,0.545429,false,false,false,false,no destructive/background/crop/family/style concern detected by audit evidence,freeze candidate
m121,F041,3,ice,KEEP,KEEP,false,0.982422,0.962891,0.010545,-0.01406,0.006836,0.000977,0.39109,false,false,false,false,no destructive/background/crop/family/style concern detected by audit evidence,freeze candidate
m122,F042,1,ice,NORMALIZE,NORMALIZE,false,0.625,0.847656,-0.003036,0.037512,0.001953,0.011719,0.696636,false,false,false,false,apparent character scale/transparent whitespace is outside preferred roster range,Phase 2: scale/padding/centering only
m123,F042,2,ice,KEEP,KEEP,false,0.814453,0.875,0.004148,0.017348,0,-0.016602,0.592133,false,false,false,false,no destructive/background/crop/family/style concern detected by audit evidence,freeze candidate
m124,F042,3,ice,KEEP,KEEP,false,0.886719,0.886719,0.005662,0.037921,0,0,0.538647,false,false,false,false,no destructive/background/crop/family/style concern detected by audit evidence,freeze candidate
m125,F043,1,ice,KEEP,KEEP,false,0.773438,0.669922,0.009085,0.022611,0.012695,0,0.75013,false,false,false,false,no destructive/background/crop/family/style concern detected by audit evidence,freeze candidate
m126,F043,2,ice,KEEP,KEEP,false,0.765625,0.638672,0.009951,0.030564,0.006836,-0.001953,0.751667,false,false,false,false,no destructive/background/crop/family/style concern detected by audit evidence,freeze candidate
m127,F043,3,ice,KEEP,KEEP,false,0.789063,0.630859,0.013049,0.028672,-0.00293,-0.007813,0.740154,false,false,false,false,no destructive/background/crop/family/style concern detected by audit evidence,freeze candidate
m128,F044,1,water,KEEP,KEEP,false,0.857422,0.947266,-0.017556,0.035051,-0.000977,0.00293,0.491253,false,false,false,false,no destructive/background/crop/family/style concern detected by audit evidence,freeze candidate
m129,F044,2,water,MANUAL_REVIEW,MANUAL_REVIEW,false,0.96875,0.992188,0.023498,0.02252,0.003906,-0.005859,0.387661,true,false,true,false,visible content contacts canvas edge with possible clipping,manual visual review before any mutation
m130,F044,3,water,MANUAL_REVIEW,MANUAL_REVIEW,false,0.994141,1,0.026609,0.020049,0,-0.00293,0.333298,true,false,true,false,visible content contacts canvas edge with possible clipping,manual visual review before any mutation
m131,F045,1,water,KEEP,KEEP,false,0.976563,0.691406,0.021475,0.008854,-0.015625,0,0.62748,false,false,false,false,no destructive/background/crop/family/style concern detected by audit evidence,freeze candidate
m132,F045,2,water,KEEP,KEEP,false,0.994141,0.765625,0.043715,-0.020911,0.021484,0.000977,0.524654,false,false,false,false,no destructive/background/crop/family/style concern detected by audit evidence,freeze candidate
m133,F045,3,water,MANUAL_REVIEW,MANUAL_REVIEW,false,1,0.875,0.017891,-0.021295,0,0,0.449547,true,false,true,false,visible content contacts canvas edge with possible clipping,manual visual review before any mutation
m134,F046,1,grass,KEEP,KEEP,false,0.683594,0.830078,-0.014617,0.022453,0.000977,0,0.604897,false,false,false,false,no destructive/background/crop/family/style concern detected by audit evidence,freeze candidate
m135,F046,2,grass,NORMALIZE,NORMALIZE,false,0.679688,0.914063,-0.003008,-0.008115,0,0,0.524094,false,false,false,false,apparent character scale/transparent whitespace is outside preferred roster range,Phase 2: scale/padding/centering only
m136,F046,3,grass,NORMALIZE,NORMALIZE,false,0.414063,0.875,-0.047249,0.005337,0,0,0.684406,false,false,false,false,apparent character scale/transparent whitespace is outside preferred roster range,Phase 2: scale/padding/centering only
m137,F047,1,bug,KEEP,KEEP,false,0.939453,0.833984,-0.030157,0.009248,0.036133,0.004883,0.660133,false,false,false,false,no destructive/background/crop/family/style concern detected by audit evidence,freeze candidate
